ID,Title,Location,Salary,Summery
https://kr.indeed.com/viewjob?jk=c3f8b11f7635fc0f,자동차 전장 SW Engineering 분야 전문가,서울 강서구,,"시스템, 릴리즈 관리, 변경 관리 경험 3년 이상 - Yocto, Android 등 개발 환경 - C/C++, Python, Git, Gerrit, CMake, Make 등 - 컨테이너, 클라우드 기반의 빌드 환경 ﻿구축..."
https://kr.indeed.com/viewjob?jk=109c5533ffdaaa84,[DB금융투자] 2021년 하반기 신입사원 모집,서울 대치동,,"개선, 신규 서비스 기획 등 프로젝트 진행 전공 제한없음 ※ JAVA, Objective-C/Swift, Python 등 기술보유자 우대... 금융관련 자격증 보유자 우대 ※ 영어 능통자 우대 0명 서울 (여의도..."
https://kr.indeed.com/viewjob?jk=cb973769974700e0,"Software Engineer, Android Connectivity",서울,,"one or more... following languages: C, C++, Java, or Python. Preferred qualifications: 5 years of experience in Android..."
https://kr.indeed.com/viewjob?jk=35fecc3e04d5571c,[SAPEON Korea] AI Accelerator Field Application Engineer,경기도,,"Hardware Accelerator 기본 동작 이해- C/C++, Python 프로그램 개발 능력- 소프트웨어 설계 및 알고리즘 구현, 최적화 역량... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=045c3f7ac2bf61ab,"Lead Software Engineer, Machine Learning (English)",서울,,"machine learning. Experience coding in C++, C, or Python. Ability to speak and write in English fluently. Preferred..."
https://kr.indeed.com/viewjob?jk=6f46c0e603f69576,[대형증권사] 금융특화 한글 음성합성(TTI),서울 강남구,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>음성인식|인터...
https://kr.indeed.com/viewjob?jk=8d43cb4ea87ff50c,[하나금융융합기술원] Computer Vision 경력사원 모집,인천 청라동,,"딥러닝 프레임워크(TensorFlow, PyTorch등) 기반 컴퓨터비전 연구개발 경험 · 프로그래밍( Python, C/C++ 등) 능력 [우대사항] ·컴퓨터 그래픽스 이해/구현/활용 경험 ·AI관련 최신 논문의 이해/구현..."
https://kr.indeed.com/viewjob?jk=e36b281df2933890,[위메프서비스] E-Commerce 데이터엔지니어/NLP개발자,대한민국,,"우리가 사용하는 기술] 개발언어: Python, Java 하둡인프라... 시스템 Hadoop 및 Spark 경험이 있으신 분 Java, Python 개발 능력을 보유하신 분(중급 이상) Hadoop Ecosystem..."
https://kr.indeed.com/viewjob?jk=e1f6164f1d03449a,주식회사 데이터스트림즈 기술연구소 Python/Java 개발자,성남 분당구,,데이터스트림즈 기술연구소 Python/Java 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 우대사항 Python/Java 개발 직군 경력직... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=825b019ff2840218,취업포털본부 디자인팀 경력직,서울 중구,,로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
https://kr.indeed.com/viewjob?jk=23c6fc391cb50def,Data Engineer (Analytics),서울 강남구,,모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
https://kr.indeed.com/viewjob?jk=5e3dcd917846a728,자동화 물류 장비 관련 기구 설계 및 제어 기술자 (신입 및 경력),인천 부평구,,"용한 자동화 물류 및 무인 운반차 하드웨어 설계 및 제작하기 또는[소프트웨어 개발 및 운영]C++, C#, Python 등의 프로그램 언어를 사용하여 모터를 제어하고 센서의 신호를 이용하여 전반적인 자동화 장비를 모니터링하고..."
https://kr.indeed.com/viewjob?jk=9cfce6a40920af43,Data Engineer (Analytics Product),서울 강남구,,데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷... 로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=b40a09bb26c18930,"S/W개발자, H/W개발자, 기구설계 전문가",서울 강서구,,"집부문 담당업무 자격요건 인원 S/W개발자H/W개발자기구설계직 [담당업무][S/W 개발]- C, C++, Python 프로그래밍 가능- 영상 처리, 컴퓨터 비전, 머신러닝, 비디오 스트리밍 관련 개발 경력 보유- OpenCV..."
https://kr.indeed.com/viewjob?jk=9f91ece4e66ef5a9,소프트웨어개발자(정규직) 신입/경력 정규직 병역특례전문요원가능업체,인천 연수구,,인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>신경회로망연구원|인터넷·IT·통신·모바일·게임>전산·IT기술지원>S/W 엔지니어|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷...
https://kr.indeed.com/viewjob?jk=a5e926e1d22cdc11,각 분야별 인재 Pool 등록,서울,,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
https://kr.indeed.com/viewjob?jk=375d31c1f3157770,Machine Learning Engineer,서울,,"statistics and algorithms • Ability to write robust code in Python, Java and R • Familiarity with machine learning..."
https://kr.indeed.com/viewjob?jk=747393ca945eeba5,[KREAM] Server 개발자,성남 분당구,,적극적인 커뮤니케이션을 지향합니다. 인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=5c456de872b81d82,"Software Engineering Intern, 2022",대한민국,,"programming languages including: Java, C/C++, C#, Objective-C, Python, JavaScript, Go, etc. Ability to complete a 10-12 week..."
https://kr.indeed.com/viewjob?jk=6f3cf2dacebda924,컴퓨터비전 개발자 경력 정규직,서울 성동구,,바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++
https://kr.indeed.com/viewjob?jk=9e154b5b00d09b31,Software Engineer - Python and K8s,서울,,"we are building a new community around Python opscode for open source applications... who enjoy Python, have a passion..."
https://kr.indeed.com/viewjob?jk=4d08d3e1f1815e21,현대백화점 H.Point팀 데이터 분석/기획 경력,서울 삼성역,,"적용 모델링 - OLAP툴, R, Python, SQL 등 활용 분석 수행 및 리포팅 - 학사 이상 학위 취득자 - OLAP툴 사용 경험(3년 이상) - R, Python, SQL 등 심화 분석툴 경험(2년..."
https://kr.indeed.com/viewjob?jk=6b76df8456b931a8,생명과학사업본부 DX분야 경력사원 (마곡),서울 강서구,,"영업/마케팅 부서와 협업하여 DX 니즈 파악 및 과제 발굴 3) DX 과제 수행 및 관리 역량요건 - Python 및 Machine Learning Framework (Keras, Tensorflow, PyTorch 등..."
https://kr.indeed.com/viewjob?jk=3569cddb459c3fb8,"Partner Technology Manager, YouTube (English, Korean)",서울,,"Experience using one or more... following: Java, Python, PHP, XML, HTTP, HTML... JavaScript Experience with data..."
